SKU,LOCATION,ON_HAND,AS_IS,MIN_STOCK,UNIT_COST
9610-3/3,Warehouse,0,0,0,370.00
9610-36X84,Warehouse,0,0,0,395.00
9610-3X,Warehouse,0,0,0,395.00
9610-4/6,Warehouse,0,0,0,470.00
9610-5/0,West LA,0,0,0,570.00
9610-5/0,Warehouse,0,0,0,570.00
9610-6/6,Warehouse,0,0,0,720.00
9610-6/7,Warehouse,0,0,0,720.00
9611-3/3,Warehouse,0,0,0,370.00
9611-36X84,Warehouse,0,0,0,395.00
9611-3X,Warehouse,1,0,0,395.00
9611-4/6,Warehouse,0,0,0,470.00
9611-5/0,Koreatown,0,0,0,570.00
9611-5/0,West LA,0,0,0,570.00
9611-5/0,Studio City,0,0,0,570.00
9611-5/0,Warehouse,0,0,0,570.00
9611-6/6,Warehouse,0,0,0,720.00
9611-6/7,Warehouse,0,0,0,720.00
1005-3/3,Warehouse,0,0,0,315.00
1005-3X,Warehouse,0,0,0,335.00
1005-4/6,Warehouse,0,0,0,405.00
1005-5/0,Koreatown,0,0,0,475.00
1005-5/0,West LA,0,0,0,475.00
1005-5/0,La Brea,0,0,0,475.00
1005-5/0,Studio City,0,0,0,475.00
1005-5/0,Warehouse,0,0,0,475.00
1005-6/6,Warehouse,0,0,0,595.00
1005-6/7,Warehouse,0,0,0,595.00
1010-3/3,Warehouse,0,0,0,315.00
1010-3X,Warehouse,0,0,0,335.00
1010-4/6,Warehouse,0,0,0,405.00
1010-5/0,Koreatown,0,0,0,475.00
1010-5/0,West LA,0,0,0,475.00
1010-5/0,La Brea,0,0,0,475.00
1010-5/0,Studio City,0,0,0,475.00
1010-5/0,Warehouse,0,0,0,475.00
1010-6/6,Koreatown,0,0,0,595.00
1010-6/6,Warehouse,0,0,0,595.00
1010-6/7,Warehouse,0,0,0,595.00
3020-3/3,Warehouse,0,0,0,315.00
3020-3X,Warehouse,1,0,0,335.00
3020-4/6,Warehouse,0,0,0,405.00
3020-5/0,Koreatown,1,1,0,475.00
3020-5/0,West LA,0,0,0,475.00
3020-5/0,La Brea,1,1,0,475.00
3020-5/0,Studio City,1,1,0,475.00
3020-5/0,Warehouse,3,1,0,475.00
3020-6/6,Warehouse,2,1,0,595.00
3020-6/7,Warehouse,1,1,0,595.00
3020-QFH,Warehouse,0,0,0,725.00
3022-3/3,Warehouse,0,0,0,315.00
3022-3X,Warehouse,0,0,0,335.00
3022-4/6,Warehouse,0,0,0,405.00
3022-5/0,Koreatown,1,1,0,475.00
3022-5/0,West LA,0,0,0,475.00
3022-5/0,La Brea,1,1,0,475.00
3022-5/0,Studio City,1,1,0,475.00
3022-5/0,Warehouse,2,1,0,475.00
3022-6/6,Koreatown,0,0,0,595.00
3022-6/6,Warehouse,1,0,0,595.00
3022-6/7,Warehouse,0,0,0,595.00
5335-4/6,Warehouse,0,0,0,269.00
5335-5/0,Warehouse,0,0,0,309.00
5335-6/6,Warehouse,0,0,0,389.00
5336-3/3,Warehouse,0,0,0,239.00
5336-5/0,Warehouse,0,0,0,339.00
5336-6/6,Warehouse,0,0,0,429.00
5337-3X,Warehouse,0,0,0,309.00
7700-3/3,Koreatown,1,1,0,140.00
7700-3/3,West LA,1,1,0,140.00
7700-3/3,La Brea,2,1,0,140.00
7700-3/3,Studio City,0,0,0,140.00
7700-3/3,Warehouse,3,0,0,140.00
7700-3X,Koreatown,1,1,0,180.00
7700-3X,Warehouse,0,0,0,180.00
7700-4/6,Warehouse,2,0,0,180.00
7700-5/0,Koreatown,0,0,0,210.00
7700-5/0,Warehouse,0,0,0,210.00
7700-6/6,Warehouse,1,0,0,285.00
7700-6/7,Warehouse,0,0,0,285.00
7702-3/3,La Brea,0,0,0,180.00
7702-3/3,Warehouse,0,0,0,180.00
7702-3X,Warehouse,0,0,0,240.00
7702-4/6,West LA,1,1,0,240.00
7702-4/6,Warehouse,0,0,0,240.00
7702-5/0,Warehouse,0,0,0,280.00
7702-6/6,Warehouse,0,0,0,355.00
7702-6/7,Warehouse,0,0,0,355.00
DIMPLEPROTFL,West LA,1,0,0,14.50
EF1.5FMTOPPERFL,Warehouse,1,1,0,35.74
EF1.5FMTOPPERQN,West LA,1,0,0,43.50
EF1.5FMTOPPERQN,La Brea,0,0,0,43.50
EF1.5FMTOPPERQN,Studio City,0,0,0,43.50
EF1.5FMTOPPERQN,Warehouse,0,0,0,43.50
EF3.0FMTOPPERCK,Warehouse,0,0,0,103.50
EF3.0FMTOPPERKG,Koreatown,0,0,0,102.50
ELXBTPAD-CK,Studio City,0,0,0,56.00
ELXBTPAD-CK,Warehouse,0,0,0,56.00
ELXBTPAD-KG,Warehouse,0,0,0,54.50
ELXBTPAS-QN,Koreatown,0,0,0,47.50
ELXBTPAS-QN,Studio City,0,0,0,47.50
ELXBTPAS-QN,Warehouse,0,0,0,47.50
ELXPWDLJAC-SINGLE,Koreatown,0,0,0,11.50
ELXPWDLJAC-SINGLE,West LA,0,0,0,11.50
ELXPWDLJAC-SINGLE,Warehouse,0,0,0,11.50
ELXPWDLJAC-UNC-BLUE,Koreatown,1,1,0,23.00
ELXPWDLJAC-UNC-BLUE,La Brea,0,0,0,23.00
ELXPWDLJAC-UNC-BLUE,Warehouse,1,1,0,23.00
GRENADAHB-GY-FQ,West LA,1,1,0,165.50
INVIS-ENC-CK,West LA,1,1,0,22.50
INVIS-ENC-CK,Warehouse,1,0,0,22.50
INVIS-ENC-KG,La Brea,1,0,0,22.00
INVIS-ENC-KG,Warehouse,1,0,0,22.00
INVIS-ENC-TXL,West LA,1,0,0,14.50
TERRYPROTFL,La Brea,1,0,0,13.00
TERRYPROTKG,Warehouse,2,2,0,16.50
TERRYPROTQN,Warehouse,2,2,0,14.50
TERRYPROTTW,Studio City,1,0,0,12.00
TERRYPROTTW,Warehouse,3,3,0,12.00
Z1ENAD1PB1-6080,Warehouse,0,0,0,1079.00
Z1ENEX1FT1-6080,Warehouse,0,0,0,436.00
Z1ENEX1PP1-7284,Warehouse,0,0,0,673.00
Z1ENGR1FT1-3684,Warehouse,0,0,0,255.00
Z1ENGR1FT1-3974,Warehouse,1,0,0,243.00
Z1ENGR1FT1-3980,Warehouse,0,0,0,255.00
Z1ENGR1FT1-5474,Warehouse,0,0,0,299.00
Z1ENGR1FT1-5480XL,Warehouse,0,0,0,331.00
Z1ENGR1FT1-6080,Koreatown,0,0,0,331.00
Z1ENGR1FT1-6080,West LA,0,0,0,331.00
Z1ENGR1FT1-6080,Warehouse,0,0,0,331.00
Z1ENGR1FT1-7284,Warehouse,0,0,0,436.00
Z1ENGR1FT1-7680,Warehouse,0,0,0,436.00
Z1ENGR1PP1-3684,Warehouse,0,0,0,288.00
Z1ENGR1PP1-3974,Warehouse,0,0,0,275.00
Z1ENGR1PP1-3980,Warehouse,0,0,0,288.00
Z1ENGR1PP1-5474,Warehouse,0,0,0,326.00
Z1ENGR1PP1-5480XL,Warehouse,0,0,0,357.00
Z1ENGR1PP1-6080,Koreatown,0,0,0,357.00
Z1ENGR1PP1-6080,Warehouse,0,0,0,357.00
Z1ENGR1PP1-7284,Warehouse,0,0,0,453.00
Z1ENGR1PP1-7680,Warehouse,0,0,0,453.00
Z4ENAY1PP1-7680,Warehouse,0,0,0,526.00
BT2000Q,Koreatown,0,0,0,299.00
BT2000Q,West LA,0,0,0,299.00
BT2000Q,La Brea,0,0,0,299.00
BT2000Q,Studio City,0,0,0,299.00
BT2000Q,Warehouse,0,0,0,299.00
BT4000K,Koreatown,0,0,0,649.00
BT4000K,La Brea,0,0,0,649.00
BT4000K,Warehouse,1,1,0,649.00
H100IRQ,Warehouse,0,0,0,379.00
LUX-1050,Warehouse,0,0,0,275.00
LUX-1250,Warehouse,0,0,0,325.00
PC1450,Warehouse,0,0,0,329.00
SERVICE001,Warehouse,0,0,0,0.00
SERVICE002,Warehouse,0,0,0,0.00
801.0,La Brea,0,0,0,9.00
801.0,Studio City,10,10,0,9.00
CKS,Koreatown,3,0,0,14.00
CKS,West LA,8,0,0,14.00
CKS,La Brea,4,0,0,14.00
CKS,Studio City,1,0,0,14.00
CKS,Warehouse,86,1,0,14.00
FLC,Warehouse,14,0,0,16.00
FLS,Koreatown,1,0,0,10.00
FLS,Warehouse,12,1,0,10.00
KCP,West LA,26,0,0,9.00
KCP,La Brea,3,0,0,9.00
KCP,Studio City,12,0,0,9.00
KSP,Koreatown,5,0,0,18.00
KSP,West LA,17,0,0,18.00
KSP,La Brea,7,0,0,18.00
KSP,Studio City,16,0,0,18.00
QC,Studio City,1,1,0,17.00
QCP,Studio City,7,0,0,8.00
QSP,West LA,15,1,0,15.00
QSP,Studio City,2,0,0,15.00
QSP,Warehouse,1,1,0,15.00
SCKC,La Brea,1,0,0,15.00
SCKC,Warehouse,23,0,0,15.00
SCKS,Warehouse,41,0,0,13.00
SG-SZ-T,Koreatown,1,0,0,30.00
TLC,Warehouse,1,1,0,15.00
TLS,La Brea,0,0,0,13.00
0075-3/3,Warehouse,0,0,0,83.00
0075-36X84,Warehouse,0,0,0,89.00
0075-3X,Warehouse,0,0,0,89.00
0075-4/6,Warehouse,0,0,0,108.00
0075-5/0,Warehouse,0,0,0,119.00
0076-3/3,Warehouse,0,0,0,83.00
0076-3X,Warehouse,0,0,0,89.00
0076-4/6,Warehouse,0,0,0,108.00
0076-5/0,Warehouse,0,0,0,119.00
1050-6/6,Warehouse,0,0,0,335.00
1050-6/7,Warehouse,0,0,0,335.00
1055-3/3,West LA,1,1,0,275.00
1055-3/3,Warehouse,0,0,0,275.00
1055-3X,Warehouse,0,0,0,300.00
1055-4/6,Warehouse,0,0,0,350.00
1055-5/0,Warehouse,0,0,0,470.00
1055-6/6,Warehouse,0,0,0,525.00
1055-6/7,Warehouse,1,1,0,525.00
1060-3/3,Warehouse,0,0,0,490.00
1060-4/6,Warehouse,0,0,0,570.00
1060-5/0,Warehouse,0,0,0,730.00
1060-6/6,Warehouse,0,0,0,890.00
1060-6/7,Warehouse,0,0,0,890.00
1065-3/3,Warehouse,0,0,0,590.00
1065-4/6,Warehouse,0,0,0,760.00
1065-5/0,West LA,0,0,0,940.00
1065-5/0,Studio City,0,0,0,940.00
1065-5/0,Warehouse,0,0,0,940.00
1065-6/6,Warehouse,0,0,0,1100.00
1065-6/7,Warehouse,0,0,0,1100.00
1075-5/0,Warehouse,0,0,0,1000.00
HEBS46-5475,Warehouse,0,0,0,631.00
HEBS50-6080,Warehouse,0,0,0,663.00
HEXDUC50-6080,Warehouse,0,0,0,717.00
HEXELITEMI_FP-6080,Koreatown,1,1,0,973.00
HEXELITEMI_FP-6080,West LA,1,1,0,973.00
HEXELITEMI_FP-6080,La Brea,1,1,0,973.00
HEXELITEMI_FP-6080,Studio City,1,1,0,973.00
HEXELITEMI_FP-6080,Warehouse,2,0,0,973.00
HEXELITEMI_FP-7284,Warehouse,1,1,0,1129.00
HEXELITEMI_FP-7680,Warehouse,3,0,0,1126.00
HEXELITETW_FP-6080,Koreatown,1,1,0,973.00
HEXELITETW_FP-6080,West LA,1,1,0,973.00
HEXELITETW_FP-6080,La Brea,1,1,0,973.00
HEXELITETW_FP-6080,Studio City,1,1,0,973.00
HEXELITETW_FP-6080,Warehouse,5,3,0,973.00
HEXELITETW_FP-7284,Warehouse,0,0,0,1129.00
HEXELITETW_FP-7680,Warehouse,0,0,0,1126.00
HEXMI66-7680,Warehouse,0,0,0,777.00
HEXMICK66-7680,Warehouse,0,0,0,911.00
HEXMIC_FP-3975,Warehouse,0,0,0,446.00
HEXMIC_FP-5475,Warehouse,0,0,0,595.00
HEXMIC_FP-6080,Koreatown,1,1,0,677.00
HEXMIC_FP-6080,West LA,1,1,0,677.00
HEXMIC_FP-6080,La Brea,1,1,0,677.00
HEXMIC_FP-6080,Studio City,1,1,0,677.00
HEXMIC_FP-6080,Warehouse,3,0,0,677.00
HEXMIC_FP-7284,Warehouse,1,0,0,806.00
HEXMIC_FP-7680,Warehouse,3,0,0,803.00
HEXMIL66-7680,Warehouse,0,0,0,848.00
HEXMILC-7680,Warehouse,0,0,0,917.00
HEXMILC66-7680,Warehouse,0,0,0,858.00
HEXMILC67-7284,Warehouse,1,1,0,917.00
HEXMILCK66-7680,Warehouse,0,0,0,967.00
HEXSMIC66-7680,Warehouse,0,0,0,591.00
HEXSMIL-7284,Warehouse,0,0,0,590.00
HEXSMIL50-6080,Warehouse,0,0,0,476.00
HEXSMI_FP-3975,Warehouse,0,0,0,262.00
HEXSMI_FP-5475,Warehouse,1,0,0,343.00
HEXSMI_FP-6080,Koreatown,1,1,0,379.00
HEXSMI_FP-6080,West LA,1,1,0,379.00
HEXSMI_FP-6080,La Brea,0,0,0,379.00
HEXSMI_FP-6080,Studio City,1,1,0,379.00
HEXSMI_FP-6080,Warehouse,2,0,0,379.00
HEXSMI_FP-7284,Warehouse,1,0,0,470.00
HEXSMI_FP-7680,Warehouse,0,0,0,468.00
HEXSSU_FP-6080,Warehouse,0,0,0,379.00
HEXSTW_FP-3975,Warehouse,3,0,0,262.00
HEXSTW_FP-3980,Warehouse,0,0,0,296.00
HEXSTW_FP-5475,Warehouse,2,1,0,343.00
HEXSTW_FP-6080,Koreatown,1,1,0,379.00
HEXSTW_FP-6080,West LA,1,1,0,379.00
HEXSTW_FP-6080,La Brea,1,1,0,379.00
HEXSTW_FP-6080,Studio City,1,1,0,379.00
HEXSTW_FP-6080,Warehouse,1,0,0,379.00
HEXSTW_FP-7284,Warehouse,0,0,0,470.00
HEXSTW_FP-7680,Warehouse,1,0,0,468.00
HEXTWC_FP-3975,Warehouse,0,0,0,446.00
HEXTWC_FP-5475,Warehouse,0,0,0,595.00
HEXTWC_FP-6080,Koreatown,1,1,0,677.00
HEXTWC_FP-6080,West LA,1,1,0,677.00
HEXTWC_FP-6080,La Brea,1,1,0,677.00
HEXTWC_FP-6080,Studio City,1,1,0,677.00
HEXTWC_FP-6080,Warehouse,3,0,0,677.00
HEXTWC_FP-7284,Warehouse,2,0,0,806.00
HEXTWC_FP-7680,Warehouse,3,0,0,803.00
1139-2,Warehouse,0,0,0,65.00
1154-2,Warehouse,1,0,0,70.00
1160-2,Koreatown,0,0,0,80.00
1160-2,West LA,4,4,0,80.00
1160-2,La Brea,0,0,0,80.00
1160-2,Studio City,1,1,0,80.00
1160-2,Warehouse,1,0,0,80.00
1172-2,West LA,0,0,0,90.00
1172-2,Warehouse,1,1,0,90.00
1176-2,West LA,0,0,0,90.00
1176-2,Warehouse,3,0,0,90.00
2139-1T,Warehouse,0,0,0,120.00
2139-2T,Warehouse,0,0,0,120.00
2139-3T,Warehouse,0,0,0,120.00
2139-4T,Warehouse,0,0,0,120.00
2139-5T,Warehouse,0,0,0,120.00
2139XL-1,Warehouse,0,0,0,125.00
2139XL-2,Warehouse,0,0,0,125.00
2139XL-3,Warehouse,0,0,0,125.00
2139XL-4,Warehouse,0,0,0,125.00
2139XL-5,Warehouse,0,0,0,125.00
2154-1F,Warehouse,0,0,0,135.00
2154-2F,Warehouse,0,0,0,135.00
2154-3F,Koreatown,0,0,0,135.00
2154-3F,Warehouse,0,0,0,135.00
2154-4F,Studio City,1,1,0,135.00
2154-4F,Warehouse,0,0,0,135.00
2154-5F,Warehouse,0,0,0,135.00
2160-1Q,Koreatown,0,0,0,150.00
2160-1Q,West LA,0,0,0,150.00
2160-1Q,La Brea,0,0,0,150.00
2160-1Q,Warehouse,0,0,0,150.00
2160-2Q,Koreatown,0,0,0,150.00
2160-2Q,West LA,0,0,0,150.00
2160-2Q,La Brea,2,2,0,150.00
2160-2Q,Studio City,2,2,0,150.00
2160-2Q,Warehouse,1,1,0,150.00
2160-3Q,Koreatown,1,1,0,150.00
2160-3Q,West LA,3,3,0,150.00
2160-3Q,La Brea,2,2,0,150.00
2160-3Q,Studio City,1,1,0,150.00
2160-3Q,Warehouse,0,0,0,150.00
2160-4Q,West LA,0,0,0,150.00
2160-4Q,Warehouse,0,0,0,150.00
2160-5Q,Warehouse,0,0,0,150.00
2172-1CK,Warehouse,0,0,0,175.00
2172-2CK,Koreatown,1,1,0,175.00
2172-2CK,Warehouse,1,1,0,175.00
2172-3CK,West LA,2,2,0,175.00
2172-3CK,Warehouse,2,2,0,175.00
2172-4CK,Warehouse,1,0,0,175.00
2176-1K,Warehouse,0,0,0,175.00
2176-2K,Koreatown,0,0,0,175.00
2176-2K,La Brea,0,0,0,175.00
2176-2K,Studio City,1,1,0,175.00
2176-2K,Warehouse,0,0,0,175.00
2176-3K,West LA,0,0,0,175.00
2176-3K,Warehouse,0,0,0,175.00
2176-4K,Studio City,1,1,0,185.00
2176-4K,Warehouse,0,0,0,185.00
2176-5K,Warehouse,0,0,0,175.00
38G,Koreatown,2,2,0,23.00
38G,West LA,1,0,0,23.00
38G,La Brea,2,2,0,23.00
38G,Studio City,4,3,0,23.00
38G,Warehouse,20,2,0,23.00
4139-4T,Warehouse,0,0,0,150.00
4139XL-4,Warehouse,0,0,0,175.00
4154-2F,Warehouse,0,0,0,150.00
4160-1Q,Warehouse,0,0,0,175.00
4160-2Q,Warehouse,0,0,0,175.00
4172-2CK,Warehouse,0,0,0,200.00
4176-1EK,Warehouse,0,0,0,200.00
4176-2EK,Warehouse,0,0,0,200.00
4176-4EK,Warehouse,0,0,0,200.00
4650G,Koreatown,6,5,0,38.00
4650G,West LA,7,5,0,38.00
4650G,La Brea,0,0,0,38.00
4650G,Studio City,9,7,0,38.00
4650G,Warehouse,40,2,0,38.00
6078G,Koreatown,5,4,0,44.00
6078G,West LA,1,0,0,44.00
6078G,La Brea,2,0,0,44.00
6078G,Studio City,0,0,0,44.00
6078G,Warehouse,32,8,0,44.00
BEDBEAM-CK,Warehouse,0,0,0,85.00
BEDBEAM-EK,Warehouse,0,0,0,85.00
BEDBEAM-F,Warehouse,0,0,0,65.00
BEDBEAM-Q,Warehouse,0,0,0,75.00
EK-BOLT-IN-RAILS,Warehouse,0,0,0,74.95
K/Q-WHEELS-KNICK,Koreatown,0,0,0,9.00
K/Q-WHEELS-KNICK,La Brea,0,0,0,9.00
K/Q-WHEELS-KNICK,Studio City,0,0,0,9.00
K/Q-WHEELS-KNICK,Warehouse,0,0,0,9.00
KB2007-G,Warehouse,1,0,0,59.95
KB618,Koreatown,0,0,0,49.95
KB618,West LA,0,0,0,49.95
KB618,Warehouse,0,0,0,49.95
LAZARBEAM-CK,Warehouse,0,0,0,50.00
LAZARBEAM-EK,Warehouse,0,0,0,45.00
LAZARBEAM-F,Warehouse,0,0,0,35.00
LAZARBEAM-Q,Warehouse,0,0,0,40.00
SM-SC-BIFD-75F,Warehouse,0,0,0,200.00
T/F-WHEELS-KNICK,Koreatown,0,0,0,6.00
T/F-WHEELS-KNICK,La Brea,0,0,0,6.00
T/F-WHEELS-KNICK,Warehouse,0,0,0,6.00
WHEEL-KNICK,Koreatown,0,0,0,1.50
WHEEL-KNICK,La Brea,6,0,0,1.50
WHEEL-KNICK,Studio City,0,0,0,1.50
WHEEL-KNICK,Warehouse,69,0,0,1.50
420059,Warehouse,1,0,0,54.60
420221,Koreatown,1,1,0,25.00
420298,Warehouse,2,0,0,16.30
420546,Warehouse,1,0,0,15.00
426207,Warehouse,2,0,0,15.00
426210,Warehouse,2,0,0,25.00
434077-6974,Warehouse,1,0,0,20.00
571083,Warehouse,1,0,0,83.50
571083-BLACK,Warehouse,1,0,0,20.00
QD0120,Studio City,0,0,0,20.00
QD0121,La Brea,0,0,0,20.00
QD0122,La Brea,0,0,0,23.00
QD0124,La Brea,0,0,0,29.00
QD0129,La Brea,0,0,0,29.00
QD0181,Koreatown,0,0,0,16.95
QD0182,Koreatown,0,0,0,16.95
QD0182,West LA,12,0,0,16.95
QD0270,West LA,2,0,0,36.95
QD0270,Studio City,0,0,0,36.95
QD0270,Warehouse,1,0,0,36.95
MA0001UPLCKCH,Warehouse,0,0,0,215.00
MA0001UPLFFCH,Warehouse,0,0,0,135.00
MA0001UPLKKCH,Warehouse,0,0,0,215.00
MA0001UPLQQCH,Warehouse,0,0,0,150.00
MA03CKOPTS,Koreatown,0,0,0,71.00
MA03CKOPTS,Warehouse,0,0,0,71.00
MA03FFWHTS,Koreatown,0,0,0,62.00
MA03FFWHTS,La Brea,0,0,0,62.00
MA03FFWHTS,Studio City,0,0,0,62.00
MA03FFWHTS,Warehouse,0,0,0,62.00
MA03KKDUTS,Koreatown,0,0,0,70.00
MA03KKDUTS,West LA,0,0,0,70.00
MA03KKDUTS,Studio City,1,0,0,70.00
MA03KKDUTS,Warehouse,0,0,0,70.00
MA03KKHATS,Koreatown,0,0,0,64.00
MA03KKHATS,Warehouse,0,0,0,64.00
MA03KKWHTS,Koreatown,0,0,0,70.00
MA03KKWHTS,West LA,0,0,0,70.00
MA03KKWHTS,Studio City,0,0,0,70.00
MA03KKWHTS,Warehouse,0,0,0,70.00
MA03QQDUTC,Warehouse,0,0,0,18.00
MA03QQECTC,Warehouse,0,0,0,18.00
MA03QQECTS,West LA,1,0,0,65.00
MA03QQECTS,La Brea,0,0,0,65.00
MA03QQECTS,Studio City,0,0,0,65.00
MA03QQECTS,Warehouse,0,0,0,65.00
MA03QQHATC,West LA,0,0,0,17.00
MA03QQHATC,Warehouse,0,0,0,17.00
MA03QQHATS,Koreatown,0,0,0,59.00
MA03QQHATS,West LA,0,0,0,59.00
MA03QQHATS,Warehouse,0,0,0,59.00
MA03QQIVTC,Warehouse,0,0,0,17.00
MA03QQOPTC,Koreatown,0,0,0,18.00
MA03QQOPTC,West LA,1,0,0,18.00
MA03QQOPTC,La Brea,1,0,0,18.00
MA03QQOPTC,Studio City,1,0,0,18.00
MA03QQOPTC,Warehouse,3,0,0,18.00
MA03QQOPTS,Koreatown,0,0,0,65.00
MA03QQOPTS,La Brea,0,0,0,65.00
MA03QQOPTS,Studio City,0,0,0,65.00
MA03QQOPTS,Warehouse,0,0,0,65.00
MA03QQWHTC,Koreatown,1,0,0,18.00
MA03QQWHTC,West LA,1,0,0,18.00
MA03QQWHTC,La Brea,1,0,0,18.00
MA03QQWHTC,Studio City,0,0,0,18.00
MA03QQWHTC,Warehouse,0,0,0,18.00
MA03QQWHTS,Koreatown,0,0,0,65.00
MA03QQWHTS,West LA,1,0,0,65.00
MA03QQWHTS,La Brea,1,0,0,65.00
MA03QQWHTS,Warehouse,0,0,0,65.00
MA03SKDUTS,Warehouse,0,0,0,85.00
MA06QQIVCS,West LA,1,0,0,45.00
MA06QQIVCS,Warehouse,0,0,0,45.00
MA12CKSACS,Warehouse,0,0,0,54.00
MA12CKSGCS,Warehouse,0,0,0,54.00
MA12FFSGCS,Koreatown,0,0,0,46.00
MA12FFSGCS,Warehouse,0,0,0,46.00
MA12FFWHCS,Koreatown,0,0,0,46.00
MA12FFWHCS,Warehouse,0,0,0,46.00
MA12KKSACS,Warehouse,0,0,0,21.98
MA12KKSGCS,Koreatown,0,0,0,54.00
MA12KKSGCS,Studio City,0,0,0,54.00
MA12KKSGCS,Warehouse,0,0,0,54.00
MA12KKWHCS,Koreatown,0,0,0,54.00
MA12KKWHCS,Warehouse,0,0,0,54.00
MA12QQFGCC,Warehouse,0,0,0,15.00
MA12QQSACC,Warehouse,0,0,0,15.00
MA12QQSACS,Koreatown,0,0,0,49.00
MA12QQSACS,West LA,0,0,0,49.00
MA12QQSACS,La Brea,0,0,0,49.00
MA12QQSACS,Studio City,0,0,0,49.00
MA12QQSACS,Warehouse,0,0,0,49.00
MA12QQSGCC,Koreatown,1,0,0,15.00
MA12QQSGCC,West LA,1,0,0,15.00
MA12QQSGCC,La Brea,1,0,0,15.00
